[-1641063.2563259939, -228620.91236917526, -226726.64871878354, -224988.50327731151, -223377.64524573341, -221872.0140380355, -220454.4138024511, -219111.21585516844, -217831.45347977782, -216606.17693224296, -215427.98523524043, -214290.68074633324, -213189.01071431252, -212118.47162038513, -211075.15961880065, -210055.65536200069, -209056.93483167214, -208076.30006174039, -207111.32518600082, -206159.81429897892, -205219.76833310802, -204289.35862996266, -203366.90519040142, -202450.85778330005, -201539.77822102737, -200632.32221298813, -199727.2193249549, -198823.24973687023, -197919.21673491481, -197013.91421451603, -196106.0889138082, -195194.39762674412, -194277.36022603881, -193353.309907035, -192420.34258872684, -191476.26783574015, -190518.56399049165, -189544.34048458768, -188550.31067309255, -187532.77924653047, -186487.64968328387, -185410.45980518218, -184296.45794294422, -183140.73932143158, -181938.47295596573, -180685.26435131012, -179377.71833209079, -178014.28601013083, -176596.48926362392, -175130.5889081175, -173629.64817246684, -172115.66753326304, -170620.98224639625, -169187.54441993608, -167862.5688068718, -166690.14329716229, -165701.03344919419, -164905.33730511894, -164291.96096722819, -163834.7572128363, -163501.34417287767, -163260.3933223926, -163085.59721817804, -162956.76199961873, -162859.26273438311, -162782.89660728897, -162720.71088598628, -162668.03341772698, -162621.74775818092, -162579.78066600047, -162540.7514115466, -162503.73644098311, -162468.11324975983, -162433.45746323743, -162399.4751973821, -162365.95863859906, -162332.75684428439, -162299.7565039543, -162266.86921759424, -162234.02304216521, -162201.15683820785, -162168.21645788878, -162135.15214777857, -162101.91675597549, -162068.46447434189, -162034.74993882919, -162000.72757128807, -161966.35108580696, -161931.57310878078, -161896.34487918566, -161860.61600707381, -161824.33427600874, -161787.44548040259, -161749.8932923071, -161711.61915473739, -161672.56220040962, -161632.65919612607, -161591.84451405561, -161550.05013200201, -161507.20566540089, -161463.23843437634]
A->a 0.000521901963536
A->D D 0.0136349067615
A->D C 0.0153878223029
A->D B 0.0233979792011
A->D A 0.0676182454182
A->A B 0.299690709367
A->A C 0.0189815578823
A->A A 7.42260628189e-12
A->A D 0.0690735406018
A->B A 0.413646615206
A->B C 0.000654300943494
A->B B 0.00218801104519
A->B D 0.0211209186503
A->C A 0.0386680580443
A->C B 0.00031813055458
A->C C 0.000347564959221
A->C D 0.0147497370908
C->a 0.791997273658
C->D D 0.000966038192484
C->D C 0.00958429717751
C->D B 0.00555991640368
C->D A 9.91829305265e-16
C->A B 2.04649870071e-13
C->A C 1.65259544614e-13
C->A A 1.35670312193e-31
C->A D 4.71423202992e-15
C->B A 6.23643717385e-14
C->B C 0.0436904772013
C->B B 0.0640145874808
C->B D 0.00655393155083
C->C A 5.46862020052e-13
C->C B 0.0140534422399
C->C C 0.0621785552061
C->C D 0.00140148088871
B->a 0.705701595118
B->D D 0.000221572874463
B->D C 0.00825008055999
B->D B 0.0126903075073
B->D A 3.36440103069e-15
B->A B 3.68377862958e-13
B->A C 6.0802045358e-13
B->A A 4.94142581617e-31
B->A D 7.65123450018e-16
B->B A 7.49541687107e-14
B->B C 0.0499674480233
B->B B 0.101529665835
B->B D 0.00230994833749
B->C A 3.57044866549e-13
B->C B 0.0524692335798
B->C C 0.0620355008199
B->C D 0.00482464734376
D->a 0.192960427867
D->D D 0.0190197582973
D->D C 0.0201555131245
D->D B 0.0104213643439
D->D A 1.72416304832e-12
D->A B 4.46227560588e-10
D->A C 5.13970666903e-10
D->A A 5.30932764361e-26
D->A D 6.42913764683e-13
D->B A 6.57128530021e-10
D->B C 0.160550891184
D->B B 0.256795509102
D->B D 0.107392264736
D->C A 6.41939254355e-10
D->C B 0.148200434667
D->C C 0.0185921090751
D->C D 0.0659117253419
